ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_clean	gene_symbol	type_of_gene	rna_class
ENSG00000026036.20	8.441404914306752	-0.3830018915178977	0.11131363263598078	-3.440745598253857	0.000580113690997451	0.0038088858279902347	ENSG00000026036	RTEL1-TNFRSF6B	ncRNA	lncRNA
ENSG00000082929.8	2.9910347450769654	3.3841636156970964	0.5908478605322941	5.727639620541755	1.0183761492864739e-08	2.644919916233984e-07	ENSG00000082929	LINC01587	ncRNA	lncRNA
ENSG00000122548.5	2.6159728232784896	-0.7815674609853058	0.21109269373836181	-3.702484662752076	0.00021349827090089106	0.0016342795373314616	ENSG00000122548	KIAA0087	ncRNA	lncRNA
ENSG00000124915.10	1.555751194430669	-1.103441769361449	0.2242699344080991	-4.920150230006043	8.647781004814468e-07	1.3631011511219434e-05	ENSG00000124915	MYRF-AS1	ncRNA	lncRNA
ENSG00000128254.12	2.906985550731076	-0.47161624189703516	0.18536185974164412	-2.544300335324484	0.010949689183441209	0.0439311773901761	ENSG00000128254	YWHAH-AS1	ncRNA	lncRNA
ENSG00000130600.15	9.296153474753917	0.6085562467117404	0.14468345138878766	4.206121991632975	2.5979003785242478e-05	0.0002686203020028924	ENSG00000130600	H19	ncRNA	lncRNA
ENSG00000135747.11	1.8238952101652561	0.8572261674453993	0.33640513910112924	2.548195814534516	0.010828167286572252	0.0435201470967942	ENSG00000135747	ZNF670-ZNF695	ncRNA	lncRNA
ENSG00000145063.14	2.22033528545361	-0.8974641955839264	0.19811116577214632	-4.5301040559022665	5.8954643047557675e-06	7.351769423441181e-05	ENSG00000145063	FLJ33534	ncRNA	lncRNA
ENSG00000151303.11	2.3165446118576174	-0.9821404179452727	0.1900103530145206	-5.168878444587793	2.3550300301171367e-07	4.345067473195133e-06	ENSG00000151303	AGAP11	ncRNA	lncRNA
ENSG00000162913.9	3.519954705702855	-1.0913450982582324	0.1533106637262193	-7.118520471655813	1.090917353211685e-12	6.754084444197555e-11	ENSG00000162913	OBSCN-AS1	ncRNA	lncRNA
ENSG00000163081.2	1.7825551427967106	1.7403671452063492	0.5323781113382478	3.269043388789143	0.0010791175248904186	0.00643408729743921	ENSG00000163081	CCDC140	ncRNA	lncRNA
ENSG00000163364.9	6.534492388870756	0.9337000686164506	0.18549991076529956	5.033425971820535	4.817909175576285e-07	8.188815566375817e-06	ENSG00000163364	LINC01116	ncRNA	lncRNA
ENSG00000164621.5	2.071310992593837	1.2187260914211986	0.3530458966481973	3.452033016080153	0.0005563796420823016	0.00367637100591248	ENSG00000164621	SMAD5-AS1	ncRNA	lncRNA
ENSG00000172965.14	9.682109537447637	0.4752338221015566	0.13063884943136148	3.637767970019115	0.0002750110044391206	0.0020295985271996044	ENSG00000172965	MIR4435-2HG	ncRNA	lncRNA
ENSG00000173077.14	3.7560754919089296	1.3958784288326342	0.27571612113974475	5.062737800975893	4.132780697788724e-07	7.16633954726027e-06	ENSG00000173077	DELEC1	ncRNA	lncRNA
ENSG00000174171.5	1.5220605988212654	-1.594851565918019	0.2509387620909534	-6.355540900213578	2.0769447622875818e-10	8.034965842750836e-09	ENSG00000174171	LOC105370792	ncRNA	lncRNA
ENSG00000175746.6	1.3046852174265018	2.011424875697728	0.5688364416297975	3.5360337849219174	0.00040618274407587746	0.0028045989354353634	ENSG00000175746	LINC02915	ncRNA	lncRNA
ENSG00000175772.10	5.140834642419899	-1.317501743221467	0.1260777158475691	-10.449917611248265	1.4665257113524463e-25	1.2637506575882761e-22	ENSG00000175772	LINC01106	ncRNA	lncRNA
ENSG00000175773.12	2.263545622336442	-0.5882612131836508	0.20549903088866012	-2.8625984786389194	0.0042018266249020724	0.020030016956934564	ENSG00000175773	ZBTB44-DT	ncRNA	lncRNA
ENSG00000176124.11	8.005452874006737	0.431221603293238	0.14164010480243389	3.0444880275591832	0.002330767070859344	0.012253513950342307	ENSG00000176124	DLEU1	ncRNA	lncRNA
ENSG00000176236.6	3.7597996846022226	-0.4826713188265962	0.16249823060932234	-2.970317381406034	0.002974922223924837	0.015078713595638631	ENSG00000176236	RPP38-DT	ncRNA	lncRNA
ENSG00000176753.5	3.056960513995298	-0.5660739592554485	0.1780938418027162	-3.178515065571543	0.0014803152492700125	0.008396252589649881	ENSG00000176753	PAK6-AS1	ncRNA	lncRNA
ENSG00000176754.12	1.4648085658739474	1.1901428643336078	0.4254252497266026	2.7975369705922417	0.005149387364646868	0.02371132068419167	ENSG00000176754	LINC00303	ncRNA	lncRNA
ENSG00000176840.11	4.369300444032786	-1.1369216390590386	0.14720279544305648	-7.723505763848365	1.1317302981184175e-14	1.0556612112369304e-12	ENSG00000176840	MIR7-3HG	ncRNA	lncRNA
ENSG00000176984.6	0.7449000985599843	-1.9165526366102228	0.3195328270758608	-5.997983537870464	1.9978276798730657e-09	6.173603531671022e-08	ENSG00000176984	LOC107984399	ncRNA	lncRNA
