ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_clean	gene_symbol	type_of_gene	rna_class
ENSG00000082929.8	2.991034745076965	3.3841636156970964	0.5908478605322941	5.727639620541755	1.018376149286474e-08	2.644919916233984e-07	ENSG00000082929	LINC01587	ncRNA	lncRNA
ENSG00000124915.10	1.555751194430669	-1.103441769361449	0.2242699344080991	-4.920150230006043	8.647781004814468e-07	1.3631011511219434e-05	ENSG00000124915	MYRF-AS1	ncRNA	lncRNA
ENSG00000162913.9	3.519954705702855	-1.0913450982582324	0.1533106637262193	-7.118520471655813	1.090917353211685e-12	6.754084444197554e-11	ENSG00000162913	OBSCN-AS1	ncRNA	lncRNA
ENSG00000163081.2	1.7825551427967106	1.7403671452063492	0.5323781113382478	3.269043388789143	0.0010791175248904	0.0064340872974392	ENSG00000163081	CCDC140	ncRNA	lncRNA
ENSG00000164621.5	2.071310992593837	1.2187260914211986	0.3530458966481973	3.452033016080153	0.0005563796420823	0.0036763710059124	ENSG00000164621	SMAD5-AS1	ncRNA	lncRNA
ENSG00000173077.14	3.7560754919089296	1.3958784288326342	0.2757161211397447	5.062737800975893	4.132780697788724e-07	7.16633954726027e-06	ENSG00000173077	DELEC1	ncRNA	lncRNA
ENSG00000174171.5	1.5220605988212654	-1.594851565918019	0.2509387620909534	-6.355540900213578	2.0769447622875815e-10	8.034965842750836e-09	ENSG00000174171	LOC105370792	ncRNA	lncRNA
ENSG00000175746.6	1.3046852174265018	2.011424875697728	0.5688364416297975	3.536033784921917	0.0004061827440758	0.0028045989354353	ENSG00000175746	LINC02915	ncRNA	lncRNA
ENSG00000175772.10	5.140834642419899	-1.317501743221467	0.1260777158475691	-10.449917611248264	1.4665257113524463e-25	1.2637506575882761e-22	ENSG00000175772	LINC01106	ncRNA	lncRNA
ENSG00000176754.12	1.4648085658739474	1.1901428643336078	0.4254252497266026	2.7975369705922417	0.0051493873646468	0.0237113206841916	ENSG00000176754	LINC00303	ncRNA	lncRNA
ENSG00000176840.11	4.369300444032786	-1.1369216390590386	0.1472027954430564	-7.723505763848365	1.1317302981184175e-14	1.0556612112369304e-12	ENSG00000176840	MIR7-3HG	ncRNA	lncRNA
ENSG00000176984.6	0.7449000985599843	-1.9165526366102228	0.3195328270758608	-5.997983537870464	1.9978276798730653e-09	6.173603531671022e-08	ENSG00000176984	LOC107984399	ncRNA	lncRNA
ENSG00000177340.5	1.0732355631025212	1.2703193107048585	0.498845727026993	2.5465173737693862	0.0108803795296036	0.0437086271869109	ENSG00000177340	FLJ13224	ncRNA	lncRNA
ENSG00000177699.4	1.6912385571747126	-1.139385637991919	0.221572091765375	-5.142279557474351	2.714248298747193e-07	4.963559837428174e-06	ENSG00000177699	LOC100129540	ncRNA	lncRNA
ENSG00000179428.2	2.443882369559779	1.1592026210977866	0.3210216097099899	3.610980027621839	0.0003050421547427	0.0022140582897178	ENSG00000179428	IL6-AS1	ncRNA	lncRNA
ENSG00000179840.5	1.874694739662376	2.5440885519143053	0.5649068497522542	4.5035540868906825	6.682634998294536e-06	8.22834532037905e-05	ENSG00000179840	PIK3CD-AS1	ncRNA	lncRNA
ENSG00000180422.3	2.666085878458556	-1.3111320232101362	0.1671795425415055	-7.842658277908751	4.411071954168314e-15	4.5224418758099983e-13	ENSG00000180422	LINC00304	ncRNA	lncRNA
ENSG00000182376.2	1.7702808912008516	-1.331539147640126	0.2026192116434269	-6.57163324662122	4.976632220747563e-11	2.220916861355441e-09	ENSG00000182376	PIEZO1-AS1	ncRNA	lncRNA
ENSG00000182586.7	1.3759907725698242	-1.086712602805241	0.2403120920195202	-4.522088729172099	6.1232380152239e-06	7.592728774448649e-05	ENSG00000182586	LINC00334	ncRNA	lncRNA
ENSG00000183242.11	1.648779541629839	2.80369129639367	0.7745190854203353	3.6199124710685378	0.0002947026885072	0.0021518925963549	ENSG00000183242	WT1-AS	ncRNA	lncRNA
ENSG00000183535.9	0.5603719406672044	-2.4603921598201985	0.3288466297364659	-7.481883459751222	7.326490393935463e-14	5.750967883775322e-12	ENSG00000183535	COL18A1-AS1	ncRNA	lncRNA
ENSG00000187013.4	4.008375867243997	1.124257177250839	0.2453579000722942	4.5821111809303	4.603050376310896e-06	5.957705908478063e-05	ENSG00000187013	LINC02875	ncRNA	lncRNA
ENSG00000189275.3	1.6445586211620138	-1.219280839799396	0.390831170656367	-3.119712375427271	0.0018102770996882	0.0099251955858491	ENSG00000189275	LINC01164	ncRNA	lncRNA
