ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_clean	gene_symbol	type_of_gene	rna_class
ENSG00000002726.19	1.766450469790193	2.018780808511305	0.4899611798201476	4.120287262865087	3.784003159224728e-05	0.0003725315092309	ENSG00000002726	AOC1	protein-coding	mRNA
ENSG00000004846.16	1.581720207043856	2.445663252513824	0.600796257888103	4.070703204961246	4.687143498562257e-05	0.0004475375733653	ENSG00000004846	ABCB5	protein-coding	mRNA
ENSG00000005001.9	0.8074723839453685	-2.01149603470826	0.3945034787960521	-5.098804301667895	3.418057015851808e-07	6.09839639875417e-06	ENSG00000005001	PRSS22	protein-coding	mRNA
ENSG00000005073.5	4.327235195792884	3.7629087801053456	0.5629593486292204	6.684157194063571	2.322573971840809e-11	1.1037248147804576e-09	ENSG00000005073	HOXA11	protein-coding	mRNA
ENSG00000006116.3	4.911633346664266	-1.1865095775041583	0.1823353151829349	-6.507294411473429	7.651636197184022e-11	3.278312326425067e-09	ENSG00000006116	CACNG3	protein-coding	mRNA
ENSG00000006555.10	2.089346943997128	-1.346199933982929	0.1878500032708954	-7.166355658996694	7.702052357382668e-13	4.933522280504898e-11	ENSG00000006555	TTC22	protein-coding	mRNA
ENSG00000006606.8	2.989303075509522	1.6109198951761254	0.3313519208746851	4.861658537918552	1.1640629638343732e-06	1.7667431241346383e-05	ENSG00000006606	CCL26	protein-coding	mRNA
ENSG00000007968.6	7.08266438177717	2.241610571128265	0.2624031242913163	8.542621499581154	1.3121062408936736e-17	2.295598411306812e-15	ENSG00000007968	E2F2	protein-coding	mRNA
ENSG00000009709.11	2.3866352822604697	-1.014604413464142	0.2674803755118775	-3.793191973513916	0.0001487230874002	0.0011959744092199	ENSG00000009709	PAX7	protein-coding	mRNA
ENSG00000009765.14	0.7265636934276019	-1.9104009550898384	0.3973532738405205	-4.8078148107987815	1.5258901498787018e-06	2.2574443841242924e-05	ENSG00000009765	IYD	protein-coding	mRNA
ENSG00000011083.8	4.328367015144425	-1.3635212380025714	0.1593386121920472	-8.557381159810467	1.154602999386284e-17	2.0506449028493968e-15	ENSG00000011083	SLC6A7	protein-coding	mRNA
ENSG00000015413.9	6.770940491099337	1.7931617556218618	0.2333726809676651	7.683683232273071	1.545786079813491e-14	1.3938234175056725e-12	ENSG00000015413	DPEP1	protein-coding	mRNA
ENSG00000016082.14	0.8211931240588325	-2.2042955242121063	0.7643676826513686	-2.8838157005357	0.003928886151892	0.0189394393992374	ENSG00000016082	ISL1	protein-coding	mRNA
ENSG00000016490.15	0.4379817175072796	-1.5015814822663716	0.5102945235177787	-2.942578085916017	0.0032549168730955	0.0162059191220836	ENSG00000016490	CLCA1	protein-coding	mRNA
ENSG00000024526.16	7.588795939895444	1.8194815059848792	0.2220633641384178	8.193524010789774	2.5368682263927223e-16	3.4578103895087776e-14	ENSG00000024526	DEPDC1	protein-coding	mRNA
ENSG00000026751.16	4.958636867374731	1.1131831167647035	0.2201644411399999	5.056143994010567	4.278183615495013e-07	7.389322447077487e-06	ENSG00000026751	SLAMF7	protein-coding	mRNA
