Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	139/273	6.149975950467975e-29	2.8689637808933107e-25	0	0	4.093850581595533	265.9304729390921	CHRM2;CHRM1;CHRM4;CHRM5;HTR4;CDH8;CRHBP;HTR6;KIF5A;BSN;PPFIA3;CHRNB2;UNC13C;UNC13A;CHRNB3;GABRG3;GABRG2;GABRG1;SHISA6;CACNB1;SLC5A7;CACNB2;CACNB3;OMP;CACNB4;KCNQ2;KCNQ3;AMPH;CHRNA1;BRSK1;GRIA2;CHRNA2;CHRNA4;STXBP1;CACNA1B;CHRNA9;SLC1A2;CACNA1A;LPAR3;SLC1A6;CACNA1E;CPLX1;LIN7B;GRIN2A;GALR3;HRH3;KCNMB1;PENK;KCNN1;NPTX1;HCRT;ASIC2;DRD2;DRD4;DRD5;SYT5;HTR1E;SYT1;HTR1A;HTR1B;GRIN2C;GRIN2B;GRIN3B;GRIN3A;DLG2;TH;DLG3;DLG4;PCDHB9;SCN2B;GABRB3;GABRB2;SNAP25;DOC2A;KCNC4;HTR2C;DBH;HTR2A;SLC6A1;SLC6A2;GABRR3;GRM3;GRM2;GRM4;GRM7;RIMBP3C;DLGAP1;ERC2;DLGAP2;SLC18A2;SLC32A1;NPY5R;HTR3A;SYN3;SYN2;SYN1;CORT;SNPH;CDHR3;CRH;KCNA1;NRXN1;GLRA1;GLRA2;GLRA3;SNCG;SLC17A7;SNCB;GABRD;TSPOAP1;SNCA;GABRA2;GABBR2;GABRA1;GABBR1;SLC12A5;GABRA6;GABRA5;KCNIP2;GABRA4;GAD1;GABRA3;GAD2;OPRK1;HTR5A;HCRTR2;GRIN1;HCRTR1;RIT2;SST;SYT10;PCDHB16;PLP1;RIMBP2;APBA1;ZACN;CBLN2;KCNK3;CBLN1
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	104/199	4.013837377150161e-23	9.362275682202753e-20	0	0	4.293501838115049	221.4146421137985	CHRM2;CHRM1;CHRM4;CHRM5;HTR4;HTR6;KIF5A;BSN;CHRNB2;UNC13C;CHRNB3;CACNB1;CACNB2;CACNB3;OMP;CACNB4;KCNQ2;KCNQ3;AMPH;CHRNA1;GRIA2;CHRNA2;CHRNA4;CACNA1B;CHRNA9;SLC1A2;CACNA1A;LPAR3;SLC1A6;CACNA1E;CPLX1;GRIN2A;GALR3;HRH3;KCNMB1;PENK;KCNN1;NPTX1;HCRT;ASIC2;DRD4;DRD5;SYT5;HTR1E;SYT1;HTR1A;HTR1B;GRIN2B;DLG2;DLG3;DLG4;PCDHB9;SCN2B;GABRB3;GABRB2;SNAP25;DOC2A;KCNC4;HTR2C;DBH;HTR2A;SLC6A1;SLC6A2;GABRR3;GRM3;GRM2;GRM4;GRM7;DLGAP1;SLC18A2;NPY5R;HTR3A;SYN2;SYN1;CORT;CRH;KCNA1;NRXN1;GLRA1;GLRA2;GLRA3;SNCG;SNCB;GABRD;SNCA;GABBR2;SLC12A5;KCNIP2;GAD1;GAD2;OPRK1;HTR5A;HCRTR2;GRIN1;HCRTR1;RIT2;SST;SYT10;PCDHB16;PLP1;APBA1;ZACN;KCNK3;CBLN1
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	87/171	1.3606334394033452e-18	2.115784998272202e-15	0	0	4.047745756718529	166.51851796861837	KCNG1;KCNK5;RYR1;KCNG2;RYR2;KCNC1;KCNK9;KCNC4;PKD1;RYR3;AQP1;SLN;NIPAL1;SCN11A;NIPAL3;SCN9A;SCN5A;CCR5;KCNH1;SCN1A;CHRNB2;SLC34A3;KCNH3;KCNH4;TRPC5;CACNA2D1;NIPA1;KCNAB1;CACNB3;SLC5A8;SCNN1D;SCN8A;SCNN1B;KCNMA1;KCNQ4;CLDN16;CATSPER1;CALCRL;CHRNA4;CATSPER4;KCNA1;CAMK2A;KCNA2;ITPR1;ATP1A4;KCNA4;CACNA1D;KCNA5;LRP2;SLC5A2;SLC5A5;CACNG6;CYP27B1;KCNV1;CACNG8;CCL8;KCNMB1;CCL5;CDH23;CCL3;KCNN1;SLC17A7;CACNA1S;SCN3B;CACNG3;KCNJ3;CCR1;KCNJ4;KCNJ5;KCNJ6;KCNIP2;KCNJ12;CAV1;KCNB2;KCNJ13;KCNJ15;ATP2B2;GRIN3A;TRPV6;KCNS2;TRPV4;TRPV5;FGF13;SCN2A;KCNK1;KCNK3;KCNK4
GO_Biological_Process_2023	Potassium Ion Transport (GO:0006813)	68/122	1.5358490562513593e-17	1.7911839618531478e-14	0	0	4.907667460512989	189.99967447121008	KCNG1;KCNK5;KCNG2;KCNG3;KCNG4;KCNC1;KCNK9;KCNC2;KCNC3;LRRC38;KCNC4;SLC9C1;AQP1;KCNH1;KCNH3;KCNH4;KCNH5;KCNH6;KCNK10;ABCC8;KCNH8;KCNK12;KCNK13;KCNAB1;SLC9A2;SLC9A3;SLC9A4;SLC9A5;KCNQ1;KCNQ2;KCNMA1;KCNQ3;KCNQ4;KCNQ5;HCN4;SLC24A2;SLC24A4;KCNA1;HPN;KCNA2;ATP1A4;KCNA4;KCNA5;LRRC55;NALCN;KCNV1;KCNV2;KCNMB1;KCNN1;SLC17A7;KCNJ3;KCNJ4;KCNJ5;LRRC26;KCNJ6;KCNJ11;KCNB1;KCNIP2;KCNJ12;KCNB2;KCNJ13;KCNJ15;KCNS2;KCNK1;HCN2;KCNK3;HCN1;KCNK4
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	106/236	2.9693722985784185e-17	2.7704243545736645e-14	0	0	3.192389952748073	121.48830230890093	GPR68;HP;LOXL3;CXCL13;TNF;CRHBP;ADORA3;CCRL2;C3AR1;LGALS9;CMKLR1;CD96;F2R;WNT5A;CYBB;HSPG2;PTGFR;CSF1R;ALOX15;C5AR1;FPR1;FPR3;FPR2;GATA3;SCUBE1;TBXA2R;TAC4;CD14;TAC1;CCR1;XCR1;TGFB1;VCAM1;AZU1;PPBP;LYZ;SELE;CXCL10;CXCL11;VNN1;NOX4;SERPINA3;CXCL9;CXCL8;TNFAIP6;ITGB2;CXCL3;ITGAL;PIK3CG;ADGRE5;HYAL1;BLNK;OLR1;CCR5;CCR3;CCR2;ANXA1;NFAM1;PLA2G4B;IL18;TLR1;TMIGD3;IL1A;ADORA2A;IL1B;KIT;CRH;XCL2;CHI3L1;TLR6;CD44;TLR3;TLR2;CCL14;PTGER4;CRP;CCL13;PTGER3;CXCR4;ADCY1;AIF1;THBS1;IL1RL1;CCL8;CCL7;CCL5;CXCR2;CCL4;CCL3;CCL2;CCL18;CCL17;CCL24;CCL23;PLA2G2D;CCL22;CCL21;CCL20;CD40LG;IL2RA;SIGLEC1;ACKR1;FCGR2B;FOLR2;CCL26;PF4
GO_Biological_Process_2023	Potassium Ion Transmembrane Transport (GO:0071805)	72/137	1.2901551506039509e-16	1.003095629594572e-13	0	0	4.318224414303329	157.98914505961852	KCNG1;KCNK5;KCNG2;KCNG3;KCNG4;KCNC1;KCNK9;KCNC2;KCNC3;LRRC38;KCNC4;SLC9C1;KCNH1;KCNH3;KCNH4;KCNH5;KCNH6;KCNK10;ABCC8;KCNH8;KCNK12;KCNK13;ATP1B1;SLC9A2;SLC9A3;SLC9A4;SLC9A5;KCNQ1;KCNQ2;KCNQ3;KCNQ4;KCNQ5;HCN4;SLC24A2;SLC24A4;KCNE3;KCNA1;HPN;KCNA2;ATP1A4;ATP1A3;KCNA4;KCNA5;LRRC55;NALCN;KCNV1;KCNV2;KCNN1;KCNJ1;KCNJ3;KCNJ4;KCNJ5;LRRC26;KCNJ6;SLC12A5;KCNJ11;KCNB1;KCNIP2;KCNJ12;KCNJ9;KCNB2;KCNJ13;SLC12A1;KCNJ15;ATP4B;ATP4A;KCNS2;KCNK1;HCN2;KCNK3;HCN1;KCNK4
GO_Biological_Process_2023	Monoatomic Cation Transmembrane Transport (GO:0098655)	115/281	5.648622455200461e-15	3.764403393358593e-12	0	0	2.71220224867566	88.98020829271348	KCNG1;KCNG2;KCNG3;KCNG4;SLC9C1;SLC8A2;SCN9A;SCN1B;KCNH1;KCNH3;KCNH4;KCNH5;SLC30A8;KCNK10;SLC6A17;KCNH6;KCNK12;SLC6A15;KCNH8;KCNK13;SLC6A13;SLC6A12;CACNA2D4;ATP1B1;CACNB1;SLC9A2;SLC9A3;SLC9A4;SLC9A5;SCNN1D;KCNQ1;SCNN1B;KCNQ2;KCNQ3;KCNQ4;KCNQ5;HPN;CACNA1A;CACNA1D;CACNA1C;SLC30A10;SLC6A20;LRRC55;NALCN;TRPM2;KCNV1;GRIN2A;KCNV2;KCNN1;ATP6V0A4;TRPM8;CACNA1S;SCN3B;ASIC2;TRPM6;ASIC3;TRPM3;TRPV3;GRIN2C;GRIN2B;ATP4A;SLC6A7;TRPV6;TRPV4;TRPV5;NOX5;SCN2A;SCN2B;KCNK5;KCNC1;KCNK9;KCNC2;KCNC3;LRRC38;KCNC4;SLC40A1;SLC6A1;SLC6A2;PKD1;RYR3;SLC6A3;CNGA1;CNGA3;CNGA4;SCN5A;TRPC5;ABCC8;ANO6;ATP6V1B1;CNGB1;HCN4;SLC24A2;SLC24A4;KCNA1;KCNA2;ATP1A4;KCNA4;ATP1A3;KCNA5;ATP2C2;UCP2;LRRC26;MCOLN3;KCNJ11;KCNB1;KCNB2;SLC12A1;MCOLN2;GRIN1;KCNS2;KCNK1;HCN2;KCNK3;HCN1;KCNK4
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	114/284	3.681832817401728e-14	2.1469687616473827e-11	0	0	2.624033655326073	81.1686574141661	KCNG1;KCNG2;KCNG3;KCNG4;AQP8;SLC9C1;AQP1;SLC8A2;SCN9A;SCN1B;KCNH1;KCNH3;KCNH4;KCNH5;SLC30A8;KCNK10;SLC6A17;KCNH6;KCNK12;SLC6A15;KCNH8;KCNK13;SLC6A13;SLC6A12;CACNA2D4;ATP1B1;CACNB1;SLC9A2;SLC9A3;SLC9A4;SLC9A5;SCNN1D;KCNQ1;SCNN1B;KCNQ2;KCNQ3;KCNQ4;KCNQ5;RHCG;HPN;CACNA1A;CACNA1D;CACNA1C;SLC30A10;SLC6A20;LRRC55;NALCN;CACNA1H;TRPM2;KCNV1;KCNV2;KCNN1;ATP6V0A4;TRPM8;CACNA1S;SCN3B;ASIC2;TRPM6;ASIC3;TRPM3;TRPV3;ATP4A;SLC6A7;TRPV6;TRPV4;TRPV5;NOX5;SCN2A;SCN2B;KCNK5;KCNC1;KCNK9;KCNC2;KCNC3;LRRC38;KCNC4;SLC40A1;SLC6A1;SLC6A2;PKD1;RYR3;SLC6A3;SCN5A;TRPC5;ABCC8;ANO6;HTR3A;ATP6V1B1;HCN4;SLC24A2;SLC24A4;KCNA1;KCNA2;ATP1A4;KCNA4;ATP1A3;KCNA5;ATP2C2;RHD;UCP2;LRRC26;MCOLN3;KCNJ11;KCNB1;KCNB2;SLC12A1;MCOLN2;P2RX3;KCNS2;KCNK1;HCN2;KCNK3;HCN1;KCNK4
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	80/176	1.0213098143351509e-13	5.293789204303866e-11	0	0	3.248702742772424	97.17688665646092	PRSS1;ECM2;HPSE2;COL14A1;LOXL3;DMP1;LOXL1;CTSS;LOXL2;ADAMTS3;IBSP;CTSK;HMCN1;PRSS2;ADAMTS6;POSTN;COL27A1;MMP7;MIA;MMP1;MMP2;SPINK5;MMP9;MMP10;GREM1;MMP12;MMP11;MMP14;CCDC80;MMP13;COL4A2;LOX;COL4A1;COL4A3;MMP17;COL4A6;COL8A1;MMP19;LCP1;MATN4;COL17A1;TMPRSS6;COL11A2;KLK5;KLK4;NOXO1;CAPG;NDNF;PLG;ADAMTS12;NID1;NID2;KLK7;COL19A1;ADAMTS15;C6ORF15;ADAMTS13;FLRT2;ADAMTS19;HAS1;SPOCK2;ADAMTS17;SERPINH1;HAS2;ELANE;TGFB1;COL24A1;LUM;COL22A1;COLQ;COL1A1;COL3A1;COL1A2;COL7A1;COL5A2;MANSC4;COL9A1;TLL2;TLL1;TGFBI
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	55/103	2.0737523896244626e-13	9.674054897598118e-11	0	0	4.453048256385069	130.04791892950416	KCNK9;AQP8;NALF2;SLC6A1;NALF1;SLC9C1;SLC8A2;SCN11A;SCN9A;SCN5A;SCN1A;CACNA2D1;ATP1B1;SLC9A2;SLC9A3;SLC9A4;SLC9A5;SCNN1D;SCN8A;SCNN1B;HCN4;SLC24A2;SLC24A4;CACNA1B;ATP1A4;CACNA1A;ATP1A3;CACNA1D;CACNA1C;CACNA1F;SLC5A2;CACNA1E;CACNA1H;CACNA1I;CACNA1S;KCNJ1;KCNJ3;KCNJ4;KCNJ5;KCNJ6;SLC12A5;KCNJ11;KCNJ12;KCNJ9;KCNJ13;SLC12A1;KCNJ15;TRPV3;ATP4B;ATP4A;TRPV6;TRPV4;TRPV5;SCN2A;HCN2
