ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_clean	gene_symbol	type_of_gene	rna_class
ENSG00000000003.14	11.188789105894497	0.40648423801603867	0.11910109557299323	3.412934499556451	0.0006426738682149743	0.004152934444992242	ENSG00000000003	TSPAN6	protein-coding	mRNA
ENSG00000001460.17	7.645111923517172	-0.3152483061832513	0.11907415069687911	-2.647495735541818	0.008109038248268492	0.03439836417836065	ENSG00000001460	STPG1	protein-coding	mRNA
ENSG00000001461.16	10.474150227362081	-0.2853342853929089	0.10236535997362681	-2.7874105602366055	0.005313111842786027	0.02431580941311387	ENSG00000001461	NIPAL3	protein-coding	mRNA
ENSG00000001626.14	3.9352648513138715	-0.5466953598320246	0.1578491340416363	-3.4634042381747956	0.0005333864152781101	0.00354777126530547	ENSG00000001626	CFTR	protein-coding	mRNA
ENSG00000002586.17	13.75840907677922	0.30284432838966646	0.1043535964673152	2.902097662580522	0.003706729613742203	0.018066646375170938	ENSG00000002586	CD99	protein-coding	mRNA
ENSG00000002726.19	1.766450469790193	2.018780808511305	0.48996117982014764	4.120287262865087	3.784003159224728e-05	0.00037253150923095406	ENSG00000002726	AOC1	protein-coding	mRNA
ENSG00000002746.14	6.490061233879022	-0.6129648594881244	0.12145294187753318	-5.046932993242817	4.489587172525828e-07	7.712790547583942e-06	ENSG00000002746	HECW1	protein-coding	mRNA
ENSG00000003137.8	6.837558397736987	-0.4759915291198972	0.12156414696351303	-3.915558501494393	9.019516995910431e-05	0.0007854886941015012	ENSG00000003137	CYP26B1	protein-coding	mRNA
ENSG00000003436.14	9.610892325010854	0.5483194635600713	0.13387085717932645	4.095883712954575	4.205610093828418e-05	0.00040746862219096284	ENSG00000003436	TFPI	protein-coding	mRNA
ENSG00000003987.13	7.05108381614088	-0.4825564303839853	0.11897055649933845	-4.056099631564459	4.989898120562756e-05	0.0004723412040584384	ENSG00000003987	MTMR7	protein-coding	mRNA
ENSG00000004660.14	8.98103210190506	-0.4486083381620836	0.10632036787641705	-4.219401673661718	2.4495152316600252e-05	0.0002552286004046117	ENSG00000004660	CAMKK1	protein-coding	mRNA
ENSG00000004846.16	1.581720207043856	2.445663252513824	0.600796257888103	4.070703204961246	4.6871434985622573e-05	0.00044753757336530095	ENSG00000004846	ABCB5	protein-coding	mRNA
ENSG00000004939.13	2.4969044384201555	-0.752084399118352	0.19706291661685324	-3.8164684255669448	0.00013537538964643496	0.0011052869418889074	ENSG00000004939	SLC4A1	protein-coding	mRNA
ENSG00000005001.9	0.8074723839453685	-2.01149603470826	0.39450347879605213	-5.098804301667895	3.418057015851808e-07	6.09839639875417e-06	ENSG00000005001	PRSS22	protein-coding	mRNA
ENSG00000005059.15	9.820835720399465	0.6201471605163947	0.1351147089516534	4.589782750731419	4.437075770427093e-06	5.770860885157518e-05	ENSG00000005059	MCUB	protein-coding	mRNA
ENSG00000005073.5	4.327235195792884	3.7629087801053456	0.5629593486292204	6.684157194063571	2.322573971840809e-11	1.1037248147804578e-09	ENSG00000005073	HOXA11	protein-coding	mRNA
ENSG00000005187.11	3.752670129962202	0.6461396552983495	0.2201901001061691	2.9344627891390225	0.00334125613728284	0.01657010482635571	ENSG00000005187	ACSM3	protein-coding	mRNA
ENSG00000005379.15	9.638789966601172	-0.5446388822504903	0.10040271508037926	-5.424543368318969	5.8102882369254646e-08	1.255836485185746e-06	ENSG00000005379	TSPOAP1	protein-coding	mRNA
ENSG00000005381.7	3.961496984667584	-0.7152300642240316	0.1522417647371127	-4.69798852804336	2.6273618529377406e-06	3.624708000016029e-05	ENSG00000005381	MPO	protein-coding	mRNA
ENSG00000005421.8	2.9374835784060584	-0.7617834424106982	0.17515872123569212	-4.349103698842655	1.3669506707683313e-05	0.00015357887312536465	ENSG00000005421	PON1	protein-coding	mRNA
ENSG00000005471.15	6.6460911486697585	0.8730678604233202	0.17670836712298457	4.940727338709926	7.783168519306538e-07	1.2458029319523612e-05	ENSG00000005471	ABCB4	protein-coding	mRNA
ENSG00000005844.17	8.257119878993421	0.34854596526657006	0.13634383728396726	2.556374913672433	0.010576909105274507	0.04275259604552682	ENSG00000005844	ITGAL	protein-coding	mRNA
ENSG00000005961.17	5.374165397257449	-0.44123681698696293	0.13753316384365089	-3.2082212366507146	0.0013355871499560112	0.007718530438020229	ENSG00000005961	ITGA2B	protein-coding	mRNA
ENSG00000005981.12	4.09328223981803	-0.6263323530096145	0.15189247491136718	-4.123524574703876	3.731186312891092e-05	0.00036815627912213287	ENSG00000005981	ASB4	protein-coding	mRNA
